PLAYER_NAME,TEAM_ABBREVIATION,PLAYER_POSITION,NBA_FANTASY_PTS,GP,FG3M,FGM,FGA,FTM,FTA,PTS,REB,AST,TOV,STL,BLK,FG3_PCT,FT_PCT,FG_PCT,SEASON
Kevin Durant,PHX,Forward,3429.0,75,168,751,1436,362,423,2032,495,378,244,69,91,0.413,0.856,0.523,2023-24
Jayson Tatum,BOS,Forward-Guard,3420.2,74,229,672,1426,414,497,1987,601,364,188,75,43,0.376,0.833,0.471,2023-24
Jalen Brunson,NYK,Guard,3387.1,77,211,790,1648,421,497,2212,278,519,186,70,13,0.401,0.847,0.479,2023-24
Anthony Edwards,MIN,Guard,3360.5,79,190,718,1558,423,506,2049,430,405,241,101,42,0.357,0.836,0.461,2023-24
De'Aaron Fox,SAC,Guard,3350.0,74,214,720,1549,312,423,1966,340,418,194,150,31,0.369,0.738,0.465,2023-24
Paolo Banchero,ORL,Forward,3222.3,80,119,640,1407,405,559,1804,554,431,247,71,47,0.339,0.725,0.455,2023-24
Dejounte Murray,ATL,Guard,3209.2,78,201,672,1463,208,262,1753,416,502,201,111,24,0.363,0.794,0.459,2023-24
DeMar DeRozan,CHI,Guard-Forward,3206.5,79,75,650,1355,522,612,1897,340,421,135,90,45,0.333,0.853,0.48,2023-24
Tyrese Haliburton,IND,Guard,3076.2,69,195,500,1048,194,227,1389,271,752,159,83,48,0.364,0.855,0.477,2023-24
Pascal Siakam,IND,Forward,3051.0,80,85,681,1271,290,396,1737,565,342,141,63,25,0.346,0.732,0.536,2023-24
Chet Holmgren,OKC,Center-Forward,3032.6,82,129,505,953,218,275,1357,648,200,131,53,190,0.37,0.793,0.53,2023-24
Devin Booker,PHX,Guard,3007.6,68,152,642,1305,405,457,1841,308,472,178,61,28,0.364,0.886,0.492,2023-24
Damian Lillard,MIL,Guard,2998.0,73,220,541,1277,473,514,1775,320,508,193,72,18,0.354,0.92,0.424,2023-24
Tyrese Maxey,PHI,Guard,2965.1,70,212,638,1419,328,378,1816,258,433,116,69,33,0.373,0.868,0.45,2023-24
Stephen Curry,GSW,Guard,2956.5,74,357,650,1445,299,324,1956,330,379,210,54,28,0.408,0.923,0.45,2023-24
Bam Adebayo,MIA,Center-Forward,2947.4,71,15,530,1017,292,387,1367,737,278,162,81,66,0.357,0.755,0.521,2023-24
Nikola Vučević,CHI,Center,2922.2,76,92,586,1211,106,129,1370,801,254,120,50,60,0.294,0.822,0.484,2023-24
Rudy Gobert,MIN,Center,2916.4,76,0,406,614,249,390,1061,982,102,118,52,162,0.0,0.638,0.661,2023-24
Kawhi Leonard,LAC,Forward,2869.2,68,140,610,1162,253,286,1613,416,244,119,111,59,0.417,0.885,0.525,2023-24
Fred VanVleet,HOU,Guard,2841.1,73,227,423,1018,197,229,1270,278,589,126,101,59,0.387,0.86,0.416,2023-24
Jarrett Allen,CLE,Center,2840.2,77,0,519,819,233,314,1271,811,210,121,53,81,0.0,0.742,0.634,2023-24
Paul George,LAC,Forward,2826.6,74,243,582,1236,264,291,1671,388,262,153,113,37,0.413,0.907,0.471,2023-24
Zion Williamson,NOP,Forward,2792.2,70,6,624,1094,347,494,1601,406,352,193,76,47,0.333,0.702,0.57,2023-24
James Harden,LAC,Guard,2772.8,72,186,352,822,302,344,1192,369,614,185,77,57,0.381,0.878,0.428,2023-24
Alperen Sengun,HOU,Center,2709.8,63,33,527,982,244,352,1331,589,312,162,76,46,0.297,0.693,0.537,2023-24
Mikal Bridges,BKN,Guard-Forward,2669.9,82,220,564,1294,258,317,1606,372,299,164,81,30,0.372,0.814,0.436,2023-24
Scottie Barnes,TOR,Forward-Guard,2652.3,60,101,447,942,196,251,1191,494,363,165,75,88,0.341,0.781,0.475,2023-24
Jalen Green,HOU,Guard,2645.1,82,201,563,1332,283,352,1610,423,291,191,66,28,0.332,0.804,0.423,2023-24
